slug,name,country,kind,province,lat,lon,pop2024,pop,region,netmig_rate,income_class,rotation_deg,erank,erank_norm,erank_l1,k90,erank_unrotated,orient_entropy,orient_order,grid_share,straightness,block_m,intersection_km2,four_way_share,deadend_share,street_km,n_ways,flag
w-tr-ankara,Ankara,Turkey,world,,39.91987,32.85427,,3517182,Asia,,,0.5,109.4,262.6,752.7,439,108.7,3.562,0.019,0.236,0.954,294.0,95.1,0.249,0.061,393.9,4197,
w-cn-shiyan,Shiyan,China,world,,32.6475,110.77806,,3460000,Asia,,,85.5,218.0,279.0,750.3,435,210.4,3.568,0.014,0.251,0.903,312.0,13.0,0.197,0.297,151.9,707,norm_short
w-cn-tangshan,Tangshan,China,world,,39.64381,118.18319,,3372102,Asia,,,89.5,45.9,80.7,626.8,287,27.9,2.998,0.462,0.679,0.945,161.0,34.7,0.293,0.058,264.3,1904,
w-cn-lueliang,Lueliang,China,world,,37.5192,111.14436,,3346500,Asia,,,89.5,94.9,102.2,709.3,393,104.9,3.481,0.091,0.387,0.919,250.0,14.1,0.355,0.079,154.0,372,norm_short
w-za-durban,Durban,South Africa,world,,-29.8579,31.0292,,3338026,Africa,,,79.5,51.5,89.8,611.0,320,116.0,3.495,0.079,0.406,0.982,65.0,59.2,0.282,0.046,212.5,2700,
w-cn-changzhou,Changzhou,China,world,,31.77359,119.95401,,3290918,Asia,,,5.5,92.0,189.4,710.9,392,117.7,3.449,0.119,0.415,0.974,263.0,57.4,0.597,0.048,318.7,2492,
w-kr-busan,Busan,South Korea,world,,35.10168,129.03004,,3285147,Asia,,,23.5,90.7,172.9,708.3,387,107.3,3.539,0.041,0.315,0.922,278.0,85.0,0.329,0.088,317.2,2408,
w-kp-pyongyang,Pyongyang,North Korea,world,,39.03385,125.75432,,3222000,Asia,,,12.5,104.1,124.0,695.4,378,187.6,3.471,0.099,0.391,0.881,250.0,42.6,0.126,0.325,232.5,2123,
w-cn-zibo,Zibo,China,world,,36.79056,118.06333,,3129228,Asia,,,7.5,86.1,113.4,588.1,280,159.5,2.833,0.567,0.719,0.961,227.0,16.1,0.478,0.099,183.2,983,norm_short
w-in-pune,Pune,India,world,,18.51957,73.85535,,3124458,Asia,,,89.5,83.6,191.8,727.3,403,84.3,3.405,0.156,0.502,0.953,357.0,138.8,0.2,0.207,416.7,5681,
w-tr-bursa,Bursa,Turkey,world,,40.19559,29.06013,,3101833,Asia,,,2.5,44.6,230.8,742.6,419,45.0,3.4,0.16,0.415,0.957,nan,307.4,0.195,0.088,694.5,7922,
w-cn-changsha,Changsha,China,world,,28.19874,112.97087,,3093980,Asia,,,89.5,83.8,148.5,658.2,337,80.0,3.186,0.329,0.587,0.958,250.0,57.5,0.266,0.092,297.7,1912,
w-in-jaipur,Jaipur,India,world,,26.91962,75.78781,,3046163,Asia,,,12.5,89.0,234.1,746.0,427,96.2,3.426,0.138,0.328,0.897,294.0,155.5,0.123,0.176,457.9,6405,
w-cn-guiyang,Guiyang,China,world,,26.58333,106.71667,,3037159,Asia,,,89.5,118.9,182.8,731.2,410,119.0,3.548,0.032,0.365,0.916,250.0,29.6,0.309,0.124,256.8,1400,
w-cn-ueruemqi,UEruemqi,China,world,,43.80096,87.60046,,3029372,Asia,,,76.5,112.8,228.1,719.2,400,112.9,3.454,0.115,0.306,0.956,263.0,44.3,0.29,0.146,334.2,1753,
w-id-surabaya,Surabaya,Indonesia,world,,-7.24917,112.75083,,3018022,Asia,,,11.5,60.6,224.8,721.9,390,66.7,3.121,0.377,0.569,0.977,227.0,187.3,0.121,0.185,577.4,10377,
w-kr-incheon,Incheon,South Korea,world,,37.45646,126.70515,,3015482,Asia,,,3.5,101.5,149.1,663.5,339,132.1,3.283,0.255,0.614,0.967,357.0,51.1,0.3,0.11,224.0,2056,
w-cn-lanzhou,Lanzhou,China,world,,36.05701,103.83987,,3000000,Asia,,,16.5,85.2,156.1,703.3,381,130.1,3.351,0.2,0.446,0.934,250.0,46.5,0.258,0.207,296.0,2202,
w-ve-caracas,Caracas,Venezuela,world,,10.48801,-66.87919,,3000000,South America,,,10.5,110.8,265.6,758.2,442,118.9,3.54,0.04,0.322,0.898,217.0,69.0,0.242,0.134,383.6,4987,
w-ua-kyiv,Kyiv,Ukraine,world,,50.45466,30.5238,,2952301,Europe,,,14.5,129.4,155.1,751.9,439,206.1,3.51,0.066,0.231,0.964,nan,23.6,0.333,0.114,181.6,2576,norm_short
w-tr-izmir,Izmir,Turkey,world,,38.41273,27.13838,,2938292,Asia,,,10.5,57.9,261.3,750.5,435,61.7,3.567,0.015,0.249,0.946,357.0,228.0,0.203,0.07,576.5,7316,
w-cn-huizhou,Huizhou,China,world,,23.11147,114.41523,,2900113,Asia,,,89.5,133.2,224.9,751.3,437,123.9,3.532,0.046,0.3,0.954,312.0,37.8,0.272,0.023,247.9,2140,
w-cn-haikou,Haikou,China,world,,20.03421,110.34651,,2873358,Asia,,,0.5,105.8,177.1,735.1,415,108.3,3.47,0.101,0.323,0.933,294.0,51.8,0.335,0.099,297.0,1892,
w-tw-taichung,Taichung,Taiwan,world,,24.1469,120.6839,,2850285,Asia,,,0.5,63.8,137.3,721.1,399,56.2,3.353,0.199,0.475,0.989,208.0,94.6,0.563,0.049,452.4,4371,
w-in-kanpur,Kanpur,India,world,,26.46523,80.34975,,2823249,Asia,,,37.5,80.6,218.0,678.6,383,107.9,3.426,0.139,0.454,0.906,278.0,140.9,0.128,0.199,384.4,4519,
w-ec-quito,Quito,Ecuador,world,,-0.22985,-78.52495,,2781641,South America,,,40.5,87.1,234.3,729.6,415,113.5,3.515,0.062,0.334,0.928,385.0,101.9,0.298,0.184,417.6,5038,
w-au-brisbane,Brisbane,Australia,world,,-27.46794,153.02809,,2780063,Oceania,,,9.5,82.9,196.5,735.6,418,115.1,3.431,0.134,0.327,0.979,91.0,92.9,0.208,0.123,374.1,7358,
w-ao-luanda,Luanda,Angola,world,,-8.83682,13.23432,,2776168,Africa,,,24.5,101.6,248.0,742.3,424,131.5,3.512,0.064,0.379,0.95,nan,100.2,0.178,0.128,388.7,4587,
w-cn-linyi,Linyi,China,world,,35.06306,118.34278,,2743843,Asia,,,89.5,70.8,110.9,598.9,290,78.6,3.092,0.398,0.673,0.952,333.0,24.0,0.259,0.147,220.4,1875,
w-cn-baoding,Baoding,China,world,,38.87288,115.46246,,2739887,Asia,,,89.5,51.3,61.1,497.4,238,75.0,2.991,0.467,0.686,0.978,385.0,13.7,0.417,0.104,158.0,589,norm_short
w-tw-kaohsiung,Kaohsiung,Taiwan,world,,22.61626,120.31333,,2737660,Asia,,,70.5,33.9,111.0,672.0,351,69.5,3.471,0.1,0.433,0.977,192.0,152.3,0.418,0.063,532.8,5075,
w-ec-guayaquil,Guayaquil,Ecuador,world,,-2.19616,-79.88621,,2723665,South America,,,15.5,38.9,80.5,471.8,229,76.9,3.063,0.417,0.784,0.985,76.0,97.7,0.644,0.058,355.8,3771,
w-br-belo-horizonte,Belo Horizonte,Brazil,world,,-19.92083,-43.93778,,2721564,South America,,,14.5,37.8,139.2,719.7,392,89.9,3.474,0.097,0.478,0.977,139.0,135.1,0.389,0.035,512.6,6866,
w-cn-minhang,Minhang,China,world,,31.10881,121.37471,,2716600,Asia,,,65.5,71.3,125.2,602.5,287,180.1,2.972,0.479,0.702,0.94,357.0,28.4,0.321,0.156,251.5,2018,
w-cn-bazhong,Bazhong,China,world,,31.8694,106.74432,,2712894,Asia,,,9.5,232.7,314.0,771.0,459,223.9,3.565,0.017,0.179,0.81,357.0,20.8,0.254,0.2,211.7,732,
w-br-salvador,Salvador,Brazil,world,,-12.97563,-38.49096,,2711840,South America,,,17.5,119.8,300.0,768.6,454,129.9,3.573,0.01,0.268,0.916,238.0,87.9,0.131,0.223,391.1,6039,
w-ng-abuja,Abuja,Nigeria,world,,9.05785,7.49508,,2690000,Africa,,,57.5,38.7,76.8,653.6,341,197.6,3.49,0.083,0.466,0.892,263.0,46.6,0.259,0.179,283.8,2410,
w-bd-gazipur,Gazipur,Bangladesh,world,,23.99844,90.42234,,2674697,Asia,,,78.5,122.6,135.5,693.4,370,205.7,3.373,0.183,0.498,0.912,385.0,15.7,0.087,0.289,131.4,622,norm_short
w-cn-wenzhou,Wenzhou,China,world,,27.99942,120.66682,,2650000,Asia,,,89.5,117.9,164.1,730.6,410,114.5,3.364,0.19,0.42,0.957,227.0,46.8,0.358,0.097,293.2,1949,
w-id-bekasi,Bekasi,Indonesia,world,,-6.2349,106.9896,,2648272,Asia,,,19.5,59.0,224.5,742.7,418,63.5,3.308,0.235,0.417,0.933,357.0,218.7,0.141,0.202,598.9,13007,
w-sn-dakar,Dakar,Senegal,world,,14.6937,-17.44406,,2646503,Africa,,,3.5,72.1,146.6,718.5,407,82.9,3.431,0.134,0.323,0.976,278.0,117.6,0.237,0.073,366.3,3599,
w-vn-haiphong,Haiphong,Vietnam,world,,20.86481,106.68345,,2625200,Asia,,,0.5,79.5,138.5,667.2,360,93.6,3.513,0.063,0.39,0.953,nan,29.5,0.315,0.151,186.0,1397,norm_short
w-cn-yunfu,Yunfu,China,world,,22.92787,112.03809,,2612800,Asia,,,5.5,166.7,207.1,739.9,423,168.7,3.564,0.018,0.235,0.915,200.0,31.2,0.324,0.078,184.5,583,norm_short
w-in-navi-mumbai,Navi Mumbai,India,world,,19.03681,73.01582,,2600000,Asia,,,42.5,97.6,184.7,718.2,406,81.9,3.343,0.207,0.337,0.842,263.0,93.7,0.15,0.179,266.6,2873,
w-so-mogadishu,Mogadishu,Somalia,world,,2.03711,45.34375,,2587183,Africa,,,70.5,25.4,71.4,513.0,269,49.0,3.045,0.43,0.672,0.968,357.0,188.6,0.558,0.062,439.2,3587,
w-gh-kumasi,Kumasi,Ghana,world,,6.68848,-1.62443,,2544530,Africa,,,0.5,155.5,266.0,770.0,456,154.8,3.561,0.02,0.285,0.931,294.0,64.4,0.139,0.159,297.1,2851,
w-id-bandung,Bandung,Indonesia,world,,-6.92222,107.60694,,2528163,Asia,,,13.5,75.5,261.1,747.8,425,73.0,3.32,0.225,0.429,0.952,135.0,183.6,0.117,0.172,519.0,11750,
w-pk-gujranwala,Gujranwala,Pakistan,world,,32.15567,74.18705,,2511118,Asia,,,0.5,44.9,101.5,671.3,334,42.7,3.088,0.4,0.658,0.985,61.0,181.0,0.255,0.14,561.7,4654,
w-cn-huai-an,Huai'an,China,world,,33.58861,119.01917,,2494013,Asia,,,1.5,62.0,102.4,641.0,335,82.7,3.213,0.309,0.543,0.969,385.0,22.9,0.45,0.056,235.6,897,
w-id-medan,Medan,Indonesia,world,,3.58333,98.66667,,2486283,Asia,,,1.5,56.7,121.4,667.4,338,69.6,2.834,0.566,0.628,0.96,nan,137.9,0.142,0.23,452.6,8319,
w-in-lucknow,Lucknow,India,world,,26.83928,80.92313,,2472011,Asia,,,23.5,145.3,257.7,753.0,435,172.4,3.494,0.08,0.327,0.934,nan,73.8,0.159,0.212,301.7,3461,
w-bf-ouagadougou,Ouagadougou,Burkina Faso,world,,12.36566,-1.53388,,2415266,Africa,,,76.5,42.4,80.3,645.7,316,99.1,3.38,0.177,0.662,0.992,62.0,111.9,0.447,0.038,428.2,3067,
w-in-nagpur,Nagpur,India,world,,21.14631,79.08491,,2405665,Asia,,,1.5,83.9,228.2,730.1,406,85.4,3.392,0.167,0.422,0.92,nan,134.9,0.229,0.102,441.2,5893,
w-br-fortaleza,Fortaleza,Brazil,world,,-3.71722,-38.54306,,2400000,South America,,,17.5,49.0,95.8,496.7,283,93.0,3.205,0.315,0.505,0.986,122.0,82.2,0.4,0.096,310.3,3798,
w-co-cali,Cali,Colombia,world,,3.43054,-76.5199,,2392877,South America,,,46.5,54.1,207.2,771.8,459,56.3,3.462,0.108,0.21,0.995,nan,219.0,0.394,0.022,689.0,8529,
w-au-perth,Perth,Australia,world,,-31.95224,115.8614,,2384371,Oceania,,,0.5,85.3,191.9,722.7,402,90.8,3.395,0.164,0.261,0.982,nan,77.8,0.282,0.064,302.2,5269,
w-kr-daegu,Daegu,South Korea,world,,35.87028,128.59111,,2365523,Asia,,,4.5,83.5,223.9,750.2,429,91.0,3.435,0.131,0.42,0.966,nan,125.8,0.299,0.041,468.4,4657,
w-dz-algiers,Algiers,Algeria,world,,36.73225,3.08746,,2364230,Africa,,,23.5,93.4,226.5,724.9,411,115.6,3.543,0.037,0.375,0.882,333.0,111.7,0.265,0.153,403.4,4217,
w-cn-nanchang,Nanchang,China,world,,28.68396,115.85306,,2357839,Asia,,,26.5,66.2,98.1,616.8,333,157.6,3.454,0.114,0.435,0.939,312.0,50.6,0.34,0.06,304.9,1731,
w-az-baku,Baku,Azerbaijan,world,,40.37767,49.89201,,2351300,Asia,,,80.5,80.5,126.2,517.6,302,109.2,3.491,0.083,0.393,0.925,238.0,45.4,0.165,0.235,187.7,1787,norm_short
w-cn-hohhot,Hohhot,China,world,,40.81056,111.65222,,2350000,Asia,,,71.5,88.0,152.2,665.1,339,193.4,2.889,0.532,0.563,0.976,385.0,26.9,0.409,0.137,231.5,908,
w-jp-nagoya,Nagoya,Japan,world,,35.18147,136.90641,,2332176,Asia,,,0.5,37.6,148.2,676.0,334,36.3,3.181,0.333,0.727,0.98,385.0,230.8,0.418,0.015,743.8,7676,
w-us-queens,Queens,United States,world,,40.68149,-73.83652,,2316841,North America,,,69.5,27.4,54.9,646.8,314,106.1,3.158,0.35,0.632,0.993,78.0,84.8,0.495,0.039,435.6,4465,
w-ir-mashhad,Mashhad,Iran,world,,36.29807,59.60567,,2307177,Asia,,,26.5,61.4,211.3,748.7,427,92.6,3.296,0.244,0.465,0.979,nan,174.8,0.192,0.248,557.9,8298,
w-cn-shaoxing,Shaoxing,China,world,,30.00237,120.57864,,2300000,Asia,,,0.5,95.1,133.5,692.3,367,102.6,3.294,0.246,0.528,0.964,238.0,26.8,0.435,0.073,214.9,1395,
w-cn-nantong,Nantong,China,world,,32.03028,120.87472,,2273326,Asia,,,89.5,61.3,126.2,627.1,302,56.4,3.095,0.395,0.642,0.966,152.0,31.2,0.352,0.077,265.1,2135,
w-cn-baoshan,Baoshan,China,world,,31.40845,121.48956,,2265900,Asia,,,67.5,62.3,64.2,511.2,245,205.7,3.095,0.395,0.669,0.958,312.0,6.8,0.412,0.171,100.8,598,norm_short
w-cn-yantai,Yantai,China,world,,37.47649,121.44081,,2227733,Asia,,,13.5,70.4,78.7,697.8,377,139.4,3.285,0.254,0.362,0.94,nan,20.8,0.281,0.157,159.4,918,norm_short
w-tr-gaziantep,Gaziantep,Turkey,world,,37.05944,37.3825,,2222415,Asia,,,3.5,39.7,220.9,752.6,430,40.8,3.54,0.039,0.363,0.964,227.0,346.5,0.245,0.024,763.0,8678,
w-cd-lubumbashi,Lubumbashi,Democratic Republic of the Congo,world,,-11.66089,27.47938,,2221925,Africa,,,62.5,64.2,109.0,704.2,383,188.2,3.41,0.152,0.458,0.974,74.0,55.8,0.252,0.155,277.3,2347,
w-br-manaus,Manaus,Brazil,world,,-3.10194,-60.025,,2219580,South America,,,0.5,78.2,157.7,694.8,367,71.1,3.344,0.206,0.576,0.965,208.0,99.7,0.243,0.144,399.3,4596,
w-zm-lusaka,Lusaka,Zambia,world,,-15.40669,28.28713,,2212301,Africa,,,80.5,98.6,162.6,717.1,395,159.9,3.496,0.078,0.461,0.941,143.0,56.1,0.19,0.13,287.0,2574,
w-cn-zhuhai,Zhuhai,China,world,,22.27694,113.56778,,2207090,Asia,,,78.5,110.7,117.0,629.4,342,146.0,3.41,0.152,0.355,0.964,238.0,19.4,0.291,0.047,137.8,939,norm_short
w-do-santo-domingo,Santo Domingo,Dominican Republic,world,,18.47186,-69.89232,,2201941,North America,,,86.5,75.8,171.5,636.7,363,75.0,3.337,0.212,0.373,0.974,357.0,75.8,0.454,0.076,329.2,2534,
w-tg-lome,Lome,Togo,world,,6.12874,1.22154,,2188376,Africa,,,74.5,77.5,166.8,556.9,323,108.0,3.333,0.215,0.493,0.994,nan,84.4,0.411,0.05,312.2,2063,
w-pk-multan,Multan,Pakistan,world,,30.19679,71.47824,,2169915,Asia,,,89.5,81.6,244.5,755.4,435,82.2,3.397,0.163,0.388,0.943,nan,162.5,0.126,0.187,490.4,5774,
w-cu-havana,Havana,Cuba,world,,23.13302,-82.38304,,2163824,North America,,,50.5,47.5,130.7,634.3,346,99.8,3.507,0.069,0.344,0.99,119.0,93.0,0.574,0.036,361.7,3457,
w-id-depok,Depok,Indonesia,world,,-6.4,106.81861,,2163635,Asia,,,5.5,60.7,240.4,735.5,408,63.8,3.235,0.292,0.557,0.91,nan,235.1,0.129,0.253,586.1,12716,
w-cn-baotou,Baotou,China,world,,40.6516,109.84389,,2150000,Asia,,,3.5,18.6,34.5,510.6,193,118.8,2.407,0.784,0.784,0.976,nan,37.2,0.36,0.114,244.7,1020,
w-in-coimbatore,Coimbatore,India,world,,11.00555,76.96612,,2136916,Asia,,,86.5,75.9,189.5,697.5,365,82.2,3.085,0.402,0.654,0.913,nan,131.0,0.167,0.237,463.3,5611,
w-cn-qingyang,Qingyang,China,world,,35.70976,107.64455,,2125400,Asia,,,81.5,28.3,45.9,532.8,194,117.5,2.757,0.611,0.879,0.965,263.0,52.6,0.617,0.106,318.1,1237,
w-ng-port-harcourt,Port Harcourt,Nigeria,world,,4.77742,7.0134,,2120000,Africa,,,87.5,112.0,133.3,681.7,375,161.8,3.52,0.057,0.332,0.922,109.0,37.6,0.184,0.168,180.7,1646,norm_short
w-za-pretoria,Pretoria,South Africa,world,,-25.74486,28.18783,,2112693,Africa,,,85.5,47.3,86.0,630.2,308,128.8,3.13,0.37,0.601,0.966,167.0,43.2,0.352,0.155,248.7,2511,
w-ar-cordoba,Cordoba,Argentina,world,,-31.40648,-64.18853,,2106734,South America,,,19.5,46.5,125.7,684.7,356,89.7,3.285,0.253,0.586,0.992,135.0,113.0,0.584,0.048,478.7,5196,
w-cd-mbuji-mayi,Mbuji-Mayi,Democratic Republic of the Congo,world,,-6.13603,23.58979,,2101332,Africa,,,30.5,104.4,147.0,716.2,394,167.5,3.376,0.18,0.51,0.959,nan,64.2,0.211,0.087,281.5,2147,
w-sy-aleppo,Aleppo,Syria,world,,36.20124,37.16117,,2098210,Asia,,,0.5,59.2,226.7,749.5,428,59.5,3.425,0.139,0.434,0.958,nan,239.4,0.225,0.065,620.7,6045,
w-cn-kunshan,Kunshan,China,world,,31.37762,120.95431,,2092496,Asia,,,87.5,108.6,152.4,657.4,339,122.8,2.964,0.484,0.573,0.934,333.0,30.6,0.376,0.208,220.7,1574,
w-iq-al-mawsil-al-jadidah,Al Mawsil al Jadidah,Iraq,world,,36.33271,43.10555,,2065597,Asia,,,66.5,69.5,243.6,760.4,442,82.2,3.552,0.029,0.331,0.932,nan,187.7,0.146,0.083,547.6,4286,
w-cn-weifang,Weifang,China,world,,36.71,119.10194,,2044028,Asia,,,0.5,102.7,134.7,636.6,314,106.2,2.857,0.552,0.722,0.949,333.0,26.5,0.446,0.093,237.2,794,
w-cn-zunyi,Zunyi,China,world,,27.68667,106.90722,,2037775,Asia,,,47.5,178.2,223.3,726.4,412,228.5,3.491,0.083,0.319,0.861,185.0,19.3,0.244,0.181,158.7,930,norm_short
w-iq-al-basrah-al-qadimah,Al Basrah al Qadimah,Iraq,world,,30.50316,47.81507,,2015483,Asia,,,60.5,59.3,224.7,738.2,415,83.7,3.133,0.368,0.437,0.974,nan,216.1,0.168,0.101,610.8,6157,
w-bo-la-paz,La Paz,Bolivia,world,,-16.5,-68.15,,2004652,South America,,,23.5,90.6,296.5,768.1,454,95.1,3.52,0.057,0.255,0.931,357.0,136.1,0.289,0.102,507.4,7211,
w-cn-lianyungang,Lianyungang,China,world,,34.59845,119.21556,,2001009,Asia,,,0.5,132.5,135.3,664.8,357,142.9,3.202,0.317,0.357,0.975,294.0,15.5,0.466,0.04,164.8,458,norm_short
w-co-medellin,Medellin,Colombia,world,,6.245,-75.57151,,1999979,South America,,,10.5,74.2,257.7,749.6,429,80.1,3.46,0.109,0.289,0.978,119.0,141.8,0.352,0.07,519.5,8122,
w-in-indore,Indore,India,world,,22.71792,75.8333,,1994397,Asia,,,4.5,55.6,209.4,725.7,397,56.3,3.304,0.238,0.575,0.941,147.0,239.5,0.188,0.141,584.8,7410,
w-uz-tashkent,Tashkent,Uzbekistan,world,,41.26465,69.21627,,1978028,Asia,,,39.5,73.8,136.9,703.6,378,193.5,3.455,0.114,0.418,0.934,357.0,50.2,0.235,0.146,274.5,2692,
w-cn-ganzhou,Ganzhou,China,world,,25.84664,114.9326,,1977253,Asia,,,89.5,70.1,175.3,712.5,388,66.8,3.432,0.133,0.456,0.938,227.0,65.7,0.392,0.099,349.7,2130,
w-kz-almaty,Almaty,Kazakhstan,world,,43.25249,76.9115,,1977011,Asia,,,84.5,25.7,43.1,516.4,221,144.1,2.916,0.515,0.753,0.973,143.0,41.9,0.348,0.14,275.6,2943,
w-sd-khartoum,Khartoum,Sudan,world,,15.55177,32.53241,,1974647,Africa,,,80.5,22.7,40.1,483.6,159,68.4,2.508,0.739,0.914,0.99,76.0,178.3,0.282,0.007,523.2,4483,
w-de-hamburg,Hamburg,Germany,world,,53.55073,9.99302,,1973896,Europe,,,65.5,126.5,262.8,749.0,431,122.3,3.558,0.023,0.222,0.981,nan,74.4,0.393,0.088,287.7,8087,
w-jp-sapporo,Sapporo,Japan,world,,43.06667,141.35,,1973832,Asia,,,79.5,18.0,40.7,587.7,255,82.4,3.263,0.27,0.735,0.983,64.0,146.8,0.429,0.032,504.9,4783,
w-cn-songjiang,Songjiang,China,world,,31.03443,121.22326,,1973500,Asia,,,89.5,56.0,78.0,571.7,253,53.0,2.969,0.481,0.768,0.948,nan,19.6,0.391,0.199,182.9,1686,norm_short
w-gh-accra,Accra,Ghana,world,,5.55602,-0.1969,,1963264,Africa,,,28.5,109.1,164.0,741.1,426,150.2,3.496,0.078,0.294,0.973,nan,63.4,0.212,0.149,277.9,2988,
w-br-curitiba,Curitiba,Brazil,world,,-25.42778,-49.27306,,1948626,South America,,,66.5,43.2,97.2,698.0,372,131.0,3.374,0.182,0.483,0.992,167.0,89.5,0.486,0.079,403.8,4680,
w-cn-ordos,Ordos,China,world,,39.6086,109.78157,,1940653,Asia,,,89.5,60.6,77.1,708.8,388,53.5,3.419,0.144,0.321,0.859,278.0,57.5,0.603,0.083,316.7,675,
w-ye-sanaa,Sanaa,Yemen,world,,15.35452,44.20646,,1937451,Asia,,,83.5,65.3,218.9,722.4,393,65.8,3.381,0.176,0.551,0.966,nan,169.2,0.238,0.059,538.9,4597,
w-gn-conakry,Conakry,Guinea,world,,9.53795,-13.67729,,1928389,Africa,,,10.5,231.0,255.3,703.2,421,235.2,3.468,0.103,0.104,0.94,312.0,26.2,0.133,0.122,128.6,773,norm_short
w-id-tangerang,Tangerang,Indonesia,world,,-6.17806,106.63,,1927815,Asia,,,0.5,73.8,184.2,713.5,384,74.0,3.282,0.256,0.611,0.929,147.0,166.4,0.116,0.222,452.0,8609,
w-mx-tijuana,Tijuana,Mexico,world,,32.5027,-117.00371,,1922523,North America,,,84.5,90.3,260.5,769.9,455,98.5,3.494,0.08,0.293,0.961,82.0,121.8,0.232,0.227,468.6,6288,
w-pk-hyderabad,Hyderabad,Pakistan,world,,25.39689,68.37718,,1921275,Asia,,,47.5,86.9,273.1,762.4,445,86.2,3.536,0.043,0.262,0.918,312.0,165.6,0.299,0.113,464.5,4112,
w-lb-beirut,Beirut,Lebanon,world,,33.89332,35.50157,,1916100,Asia,,,2.5,58.5,174.2,630.9,349,58.6,3.362,0.191,0.471,0.977,161.0,149.6,0.213,0.151,426.3,5279,
w-cn-jieyang,Jieyang,China,world,,23.5418,116.36581,,1899394,Asia,,,89.5,84.0,117.3,679.9,352,84.4,3.343,0.207,0.561,0.95,147.0,42.8,0.315,0.071,260.8,918,
w-cn-jilin,Jilin,China,world,,43.84652,126.5608,,1895865,Asia,,,3.5,66.8,101.1,692.3,370,101.9,3.325,0.222,0.479,0.939,nan,38.9,0.469,0.051,278.9,937,
w-cn-jiading,Jiading,China,world,,31.38575,121.24465,,1886100,Asia,,,63.5,114.7,166.3,659.5,340,228.6,3.147,0.358,0.643,0.974,333.0,20.5,0.576,0.099,199.4,1803,norm_short
w-ro-bucharest,Bucharest,Romania,world,,44.43225,26.10626,,1877155,Europe,,,79.5,99.3,300.8,770.0,455,99.5,3.575,0.008,0.276,0.972,294.0,132.2,0.286,0.089,453.5,7392,
w-ke-kakamega,Kakamega,Kenya,world,,0.28422,34.75229,,1867579,Africa,,,88.5,208.7,274.3,768.3,456,211.8,3.572,0.011,0.257,0.911,238.0,27.1,0.062,0.273,185.9,1027,norm_short
w-cn-shangqiu,Shangqiu,China,world,,34.4143,115.65613,,1859723,Asia,,,89.5,63.7,75.1,557.9,238,66.1,2.816,0.577,0.826,0.992,208.0,23.8,0.512,0.13,217.2,896,
w-cn-nanchong,Nanchong,China,world,,30.79508,106.08473,,1858875,Asia,,,0.5,170.7,272.0,751.7,437,170.0,3.512,0.064,0.255,0.936,385.0,33.0,0.295,0.077,232.2,1190,
w-tw-tainan,Tainan,Taiwan,world,,22.99083,120.21333,,1856642,Asia,,,89.5,89.8,221.9,735.7,413,90.6,3.366,0.188,0.423,0.98,nan,101.2,0.414,0.038,412.4,3837,
w-cn-datong,Datong,China,world,,40.09361,113.29139,,1850000,Asia,,,0.5,43.4,62.6,499.8,201,31.7,2.973,0.478,0.807,0.98,278.0,16.8,0.376,0.108,186.0,936,norm_short
w-ng-kaduna,Kaduna,Nigeria,world,,10.52641,7.43879,,1850000,Africa,,,85.5,104.5,127.2,724.7,402,163.1,3.423,0.14,0.453,0.947,89.0,49.0,0.181,0.168,267.7,2247,
w-sd-omdurman,Omdurman,Sudan,world,,15.64453,32.47773,,1849659,Africa,,,89.5,54.9,109.4,689.4,358,58.2,2.959,0.488,0.565,0.973,63.0,185.3,0.252,0.013,513.4,4830,
w-in-thane,Thane,India,world,,19.19704,72.96355,,1841488,Asia,,,89.5,93.5,240.8,748.2,430,94.3,3.52,0.057,0.353,0.846,200.0,157.6,0.136,0.205,430.1,5681,
w-tr-diyarbakir,Diyarbakir,Turkey,world,,37.91363,40.21721,,1833684,Asia,,,72.5,91.3,247.3,716.7,411,84.2,3.552,0.028,0.206,0.917,294.0,143.6,0.167,0.054,359.6,3028,
w-bo-santa-cruz-de-la-sierra,Santa Cruz de la Sierra,Bolivia,world,,-17.78629,-63.18117,,1831434,South America,,,88.5,80.8,242.5,747.9,427,82.5,3.507,0.069,0.402,0.989,nan,147.3,0.26,0.02,508.7,5781,
w-in-vadodara,Vadodara,India,world,,22.29941,73.20812,,1822221,Asia,,,3.5,55.6,199.3,716.1,392,57.3,3.325,0.222,0.52,0.903,nan,243.2,0.15,0.194,564.7,9267,
w-tr-adana,Adana,Turkey,world,,36.98615,35.32531,,1816750,Asia,,,5.5,53.9,262.1,759.2,440,53.4,3.466,0.104,0.353,0.957,238.0,264.6,0.131,0.122,649.2,7951,
w-cn-nanyang,Nanyang,China,world,,33.00524,112.54659,,1811812,Asia,,,0.5,81.8,109.6,634.5,306,84.4,3.102,0.39,0.697,0.97,263.0,25.6,0.537,0.112,221.6,575,
w-ae-abu-dhabi,Abu Dhabi,United Arab Emirates,world,,24.45118,54.39696,,1807000,Asia,,,49.5,40.1,66.3,597.3,278,187.7,3.153,0.353,0.565,0.95,385.0,82.4,0.136,0.057,312.1,3400,
w-id-palembang,Palembang,Indonesia,world,,-2.91673,104.7458,,1801367,Asia,,,1.5,86.3,231.8,753.6,435,88.5,3.541,0.039,0.334,0.928,385.0,168.0,0.101,0.286,429.0,8203,
